Name,Address,Project_Status,Occupancy_Year,Design___Accessible_1BR,Design___Accessible_2BR,Design___Accessible_3BR,Design___Accessible_4BR,Design___Accessible_Studio,Design___Accessible_Room,Design___Adaptable_1BR,Design___Adaptable_2BR,Design___Adaptable_3BR,Design___Adaptable_4BR,Design___Standard_1BR,Design___Standard_2BR,Design___Standard_3BR,Design___Standard_4BR,Design___Standard_Studio,Design___Standard_Room,Clientele__Families,Clientele___Seniors,Clientele___Other,Operator,Operator_type,Local_Area,Index_Number,Latitude,Longitude,URL
Kettle on Burrard,1134 Burrard St,Completed,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,141,Kettle Friendship Society,1,Downtown,646,49.27956716,-123.12779292,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=646
Kingsway Continental,3484 Kingsway,Completed,2014,0,0,0,0,2,0,0,,,,46,0,0,0,9,66,0,46,77,City of Vancouver,4,Killarney,723,49.23140021,-123.03124616,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=723
Kwayatsut,2465 Fraser St,Completed,2014,0,0,0,0,0,0,0,0,0,0,0,4,0,0,95,0,0,0,99,Vancouver Native Housing Society,3,Mount Pleasant,689,49.26277669,-123.08970693,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=689
Maria Gomez Replacement,111 Princess Av,Completed,2014,3,0,0,0,9,0,0,0,0,0,0,0,0,0,127,0,0,0,139,PHS Community Services Society,1,Strathcona,682,49.28368398,-123.09179574,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=682
Skeena House,3475 E Hastings,Completed,2014,,,,,,0,,,,,,,,,,57,0,0,57,Community Builders Group,1,Hastings-Sunrise,724,49.28142124,-123.02933128,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=724
Taylor Manor,951 Boundary Rd,Completed,2014,0,,,,,,0,,,,56,0,0,0,0,0,0,0,56,Kettle Friendship Society,1,Hastings-Sunrise,734,49.2766945,-123.02460592,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=734
The Yale,1300 Granville,Completed,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,Community Builders Group,1,Downtown,732,49.2757853,-123.12766812,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=732
Imouto House,120 Jackson Av,Completed,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,30,Atira Women’s Resource Society,1,Strathcona,713,49.28370817,-123.09308337,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=713
Marguerite Ford Apartments,215 W 2nd Av,Completed,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,147,Katherine Sanford Housing Society,1,Mount Pleasant,596,49.26909722,-123.11062365,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=596
McLaren House,1249 Howe St,Completed,2013,0,0,0,0,4,0,0,0,0,0,4,6,0,0,96,0,10,0,100,McLaren Housing Society of BC,1,Downtown,594,49.27749639,-123.12818713,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=594
Aboriginal Children's Village,2980 Nanaimo,Completed,2012,0,0,0,0,0,0,0,0,0,0,3,5,12,1,3,0,18,0,6,Lu'Ma Native Housing Society,3,Renfrew-Collingwood,634,49.25719768,-123.05614045,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=634
First Place,188 E 1st Av,Completed,2012,0,0,0,0,29,0,0,0,0,0,0,0,0,0,100,0,0,0,129,Lookout Emergency Aid Society,1,Mount Pleasant,711,49.26985484,-123.1011091,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=711
Heritage Co-op Addition,728 W 8th Av,Completed,2012,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5,Heritage Co-op Housing Association,2,Fairview,710,49.2639696,-123.12046637,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=710
Linden Tree Place,2304 W 8th Av,Completed,2012,8,2,0,0,0,0,0,0,0,0,33,1,0,0,1,0,0,35,10,Kitsilano Neighbourhood House,1,Kitsilano,705,49.26456261,-123.15800935,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=705
Sanford Apartments,1601 W 7th Av,Completed,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,62,Katherine Sanford Housing Society,1,Fairview,597,49.26563829,-123.14131128,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=597
Skwachays Healing Lodge and Residence,31 W Pender St,Completed,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,24,Vancouver Native Housing Society,3,Downtown,639,49.28108145,-123.10604961,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=639
Dunbar Apartments,3595 W 17th Av,Completed,2011,0,0,0,0,4,0,0,0,0,0,0,0,0,0,47,0,0,0,51,Coast Foundation Society,1,Dunbar-Southlands,593,49.25758303,-123.18469709,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=593
Karis Place,1338 Seymour St,Completed,2011,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100,0,0,0,105,More Than a Roof Mennonite Housing Society,1,Downtown,676,49.27495648,-123.12699714,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=676
Pacific Coast Apartments,337 W Pender St,Completed,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,96,Coast Foundation Society,1,Downtown,662,49.28269827,-123.11130569,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=662
Sorella,525 Abbott St,Completed,2011,0,0,0,0,0,0,0,0,0,0,0,12,0,0,96,0,12,0,96,Atira Women’s Resource Society,1,Downtown,671,49.28083259,-123.1081018,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=671
Under 1 Roof Project,2019 Dundas St,Completed,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,Lu'Ma Native Housing Society,3,Grandview-Woodland,631,49.28507629,-123.06282257,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=631
Union Gospel Project,601 E Hastings St,Completed,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,37,Union Gospel Mission,1,Strathcona,658,49.28147049,-123.09108,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=658
1005 Station Street,1005 Station St,Completed,2010,0,0,0,0,0,0,0,0,0,0,10,0,0,0,70,0,0,0,80,PHS Community Services Society,1,Strathcona,457,49.2756775,-123.09948683,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=457
Athletes Village Co-op,151 W. 1st Ave.,Completed,2010,4,0,0,0,0,0,0,0,0,0,3,60,17,0,0,0,77,0,7,Co-operative Housing Federation of BC,2,Mount Pleasant,649,49.27064319,-123.10861889,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=649
Coast Project Commercial Dr,618 Commercial Dr,Completed,2010,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,17,Coast Foundation Society,1,Grandview-Woodland,708,49.27910862,-123.0701159,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=708
Metson Rooms,1060 Howe Street,Completed,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,PHS Community Services Society,1,Downtown,707,49.27927909,-123.12438826,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=707
Olympic Village - Parcel 5,122 Walter Hardwick Ave.,Completed,2010,5,0,0,0,0,0,54,12,16,14,0,0,0,0,0,0,42,20,39,S.U.C.C.E.S.S,4,Mount Pleasant,648,49.27078693,-123.10760298,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=648
Olympic Village - Parcel 9,80 Walter Hardwick Ave.,Completed,2010,4,0,0,0,0,0,57,6,0,0,0,0,0,0,0,0,6,35,26,S.U.C.C.E.S.S,4,Mount Pleasant,647,49.27075307,-123.1057161,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=647
Woodwards - One Twenty West,120 W Cordova St,Completed,2010,0,0,0,0,0,0,0,0,0,0,0,55,20,0,0,0,75,0,0,Affordable Housing Societies,1,Downtown,525,49.28274231,-123.10776216,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=525
Woodwards - singles,131 W Hastings St,Completed,2010,0,0,0,0,5,0,0,0,0,0,0,0,0,0,120,0,0,0,125,PHS Community Services Society,1,Downtown,483,49.28276526,-123.10776232,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=483
566 Powell Street,566 Powell St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,Atira Women’s Resource Society,1,Strathcona,695,49.28278118,-123.09193982,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=695
Cordova Residence,54 E Cordova St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,Atira Women’s Resource Society,1,Downtown,696,49.28207691,-123.10296563,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=696
Dominion Hotel,210 Abbott St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,63,Atira Women’s Resource Society,1,Downtown,697,49.28355627,-123.10628594,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=697
Hazelwood Hotel,344 E Hastings St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,107,MPA Society,1,Strathcona,698,49.28095418,-123.09638402,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=698
Kindred Place,1321 Richards St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,87,More Than a Roof Mennonite Housing Society,1,Downtown,680,49.27468456,-123.12663394,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=680
Orwell Hotel,456 E Hastings St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,55,Vancouver Native Housing Society,3,Strathcona,688,49.28091634,-123.09418189,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=688
Savoy Hotel,258 E Hastings St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,MPA Society,1,Strathcona,602,49.2809366,-123.09821929,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=602
The Beacon,7 W Hastings,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,PHS Community Services Society,1,Downtown,699,49.28186911,-123.10494162,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=699
The Cornerstone,375 Princess Av,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,PHS Community Services Society,1,Strathcona,650,49.28148382,-123.09168097,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=650
The Lux,65 E Hastings St,Completed,2009,0,0,0,0,9,0,0,0,0,0,0,0,0,0,83,0,0,0,92,Raincity Housing and Support Society,1,Downtown,379,49.28169883,-123.10290041,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=379
The Rainier,307 - 315 Carrall St,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,PHS Community Services Society,1,Downtown,642,49.28223732,-123.10460555,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=642
Walton Hotel,261 - 265 E. Hastings St.,Completed,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,48,Lookout Emergency Aid Society,1,Strathcona,555,49.28159904,-123.09808091,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=555
Arco Hotel,81 - 83 W Pender St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,63,Not Yet Selected,1,Downtown,638,49.28123401,-123.10690513,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=638
Beulah Gardens - The Cedars,3355 E 5th Ave,Completed,2008,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,89,0,Beulah Garden Homes Society,1,Hastings-Sunrise,518,49.26621184,-123.03239517,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=518
Dany Guincher House,1436 West 71st Avenue,Completed,2008,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,11,Tikva Housing Society,1,Marpole,692,49.20677619,-123.13817325,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=692
Doug Storey Apartments,788 Richards St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45,Coast Foundation Society,1,Downtown,495,49.28033403,-123.11719475,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=495
